variant,seed,auc,acc,f1,avg
FocusMIL,1,0.8384,0.8500,0.7761,0.8215
FocusMIL,2,0.8705,0.8600,0.7971,0.8425
FocusMIL,3,0.8868,0.8800,0.8310,0.8659
FocusMIL,4,0.8597,0.8850,0.8345,0.8597
FocusMIL,5,0.8518,0.8800,0.8209,0.8509
FocusMIL,6,0.8598,0.8750,0.8227,0.8525
FocusMIL,7,0.8751,0.8750,0.8227,0.8576
FocusMIL,8,0.8540,0.8550,0.7852,0.8314
FocusMIL,9,0.7685,0.7400,0.6579,0.7221
FocusMIL,10,0.8757,0.8650,0.8138,0.8515
FocusMIL,11,0.8551,0.8550,0.7883,0.8328
FocusMIL,12,0.8590,0.8550,0.7883,0.8341
FocusMIL,13,0.8595,0.8650,0.8000,0.8415
FocusMIL,14,0.8843,0.8650,0.8138,0.8544
FocusMIL,15,0.8430,0.8600,0.7941,0.8324
FocusMIL,16,0.8841,0.8800,0.8209,0.8617
FocusMIL,17,0.5386,0.4800,0.5806,0.5331
FocusMIL,18,0.8416,0.8700,0.8169,0.8428
FocusMIL,19,0.8836,0.8750,0.8148,0.8578
FocusMIL,20,0.8610,0.8550,0.7883,0.8348
FocusMIL,21,0.8638,0.8700,0.8060,0.8466
FocusMIL,22,0.8952,0.8650,0.8163,0.8588
FocusMIL,23,0.8784,0.8750,0.8175,0.8570
FocusMIL,24,0.8501,0.8750,0.8175,0.8475
FocusMIL,25,0.8778,0.8550,0.7943,0.8424
FocusMIL,26,0.8763,0.8650,0.8029,0.8481
FocusMIL,27,0.8728,0.8900,0.8406,0.8678
FocusMIL,28,0.8795,0.8750,0.8175,0.8573
FocusMIL,29,0.8951,0.8600,0.8133,0.8561
FocusMIL,30,0.8621,0.8650,0.8058,0.8443
Top-k only,1,0.8325,0.8500,0.7826,0.8217
Top-k only,2,0.8754,0.8700,0.8169,0.8541
Top-k only,3,0.8759,0.8850,0.8392,0.8667
Top-k only,4,0.8748,0.8800,0.8235,0.8594
Top-k only,5,0.8507,0.8650,0.8029,0.8395
Top-k only,6,0.8512,0.8700,0.8088,0.8433
Top-k only,7,0.8749,0.8700,0.8143,0.8531
Top-k only,8,0.8710,0.8750,0.8201,0.8554
Top-k only,9,0.7583,0.7650,0.6803,0.7345
Top-k only,10,0.8718,0.8750,0.8175,0.8548
Top-k only,11,0.8659,0.8750,0.8148,0.8519
Top-k only,12,0.8806,0.8500,0.8026,0.8444
Top-k only,13,0.8383,0.8600,0.7910,0.8298
Top-k only,14,0.8526,0.8800,0.8261,0.8529
Top-k only,15,0.8758,0.8650,0.8029,0.8479
Top-k only,16,0.8614,0.8650,0.8058,0.8441
Top-k only,17,0.8735,0.8950,0.8511,0.8732
Top-k only,18,0.8927,0.8700,0.8116,0.8581
Top-k only,19,0.8388,0.8750,0.8120,0.8419
Top-k only,20,0.8579,0.8700,0.8060,0.8446
Top-k only,21,0.8531,0.8800,0.8261,0.8531
Top-k only,22,0.8617,0.8550,0.7883,0.8350
Top-k only,23,0.8840,0.8750,0.8148,0.8579
Top-k only,24,0.8497,0.8700,0.8116,0.8438
Top-k only,25,0.8630,0.8700,0.8194,0.8508
Top-k only,26,0.8777,0.8850,0.8414,0.8680
Top-k only,27,0.8794,0.8600,0.7971,0.8455
Top-k only,28,0.8738,0.8650,0.8058,0.8482
Top-k only,29,0.8617,0.8750,0.8201,0.8523
Top-k only,30,0.8799,0.8650,0.8138,0.8529
Anchor only,1,0.8613,0.8650,0.8058,0.8440
Anchor only,2,0.8812,0.8700,0.8060,0.8524
Anchor only,3,0.8825,0.8900,0.8406,0.8710
